"iso","iso3","country","year","event_type","event_count","population","imr","gdp","polity","fuel_export","precious_export","arrable_land","population_density","primary_commodities_export","gdp_growth","ef_index","mean_years_of_schooling"
12,"DZA","Algeria",1997,"Battles",9,29742.979,37.831,1608.34864564165,-3,1.3504073274E7,102.37,7650.0,12.4879205958669,1.362297969E7,1.1,0.353,5.2
12,"DZA","Algeria",1997,"Explosions/Remote violence",17,29742.979,37.831,1608.34864564165,-3,1.3504073274E7,102.37,7650.0,12.4879205958669,1.362297969E7,1.1,0.353,5.2
12,"DZA","Algeria",1997,"Protests",0,29742.979,37.831,1608.34864564165,-3,1.3504073274E7,102.37,7650.0,12.4879205958669,1.362297969E7,1.1,0.353,5.2
12,"DZA","Algeria",1997,"Riots",0,29742.979,37.831,1608.34864564165,-3,1.3504073274E7,102.37,7650.0,12.4879205958669,1.362297969E7,1.1,0.353,5.2
12,"DZA","Algeria",1997,"Strategic developments",0,29742.979,37.831,1608.34864564165,-3,1.3504073274E7,102.37,7650.0,12.4879205958669,1.362297969E7,1.1,0.353,5.2
12,"DZA","Algeria",1997,"Violence against civilians",115,29742.979,37.831,1608.34864564165,-3,1.3504073274E7,102.37,7650.0,12.4879205958669,1.362297969E7,1.1,0.353,5.2
12,"DZA","Algeria",1998,"Battles",14,30192.754,37.831,1584.89691214068,-3,9543973.184,10.105,7661.0,12.6767615272868,9657883.131,5.1,0.354,5.4
12,"DZA","Algeria",1998,"Explosions/Remote violence",13,30192.754,37.831,1584.89691214068,-3,9543973.184,10.105,7661.0,12.6767615272868,9657883.131,5.1,0.354,5.4
12,"DZA","Algeria",1998,"Protests",1,30192.754,37.831,1584.89691214068,-3,9543973.184,10.105,7661.0,12.6767615272868,9657883.131,5.1,0.354,5.4
12,"DZA","Algeria",1998,"Riots",0,30192.754,37.831,1584.89691214068,-3,9543973.184,10.105,7661.0,12.6767615272868,9657883.131,5.1,0.354,5.4
12,"DZA","Algeria",1998,"Strategic developments",0,30192.754,37.831,1584.89691214068,-3,9543973.184,10.105,7661.0,12.6767615272868,9657883.131,5.1,0.354,5.4
12,"DZA","Algeria",1998,"Violence against civilians",20,30192.754,37.831,1584.89691214068,-3,9543973.184,10.105,7661.0,12.6767615272868,9657883.131,5.1,0.354,5.4
12,"DZA","Algeria",1999,"Battles",27,30623.406,37.831,1577.44400402462,-3,1.2167197342E7,30.799,7673.0,12.8575772334512,1.225839871E7,3.2,0.356,5.7
12,"DZA","Algeria",1999,"Explosions/Remote violence",11,30623.406,37.831,1577.44400402462,-3,1.2167197342E7,30.799,7673.0,12.8575772334512,1.225839871E7,3.2,0.356,5.7
12,"DZA","Algeria",1999,"Protests",0,30623.406,37.831,1577.44400402462,-3,1.2167197342E7,30.799,7673.0,12.8575772334512,1.225839871E7,3.2,0.356,5.7
12,"DZA","Algeria",1999,"Riots",0,30623.406,37.831,1577.44400402462,-3,1.2167197342E7,30.799,7673.0,12.8575772334512,1.225839871E7,3.2,0.356,5.7
12,"DZA","Algeria",1999,"Strategic developments",3,30623.406,37.831,1577.44400402462,-3,1.2167197342E7,30.799,7673.0,12.8575772334512,1.225839871E7,3.2,0.356,5.7
12,"DZA","Algeria",1999,"Violence against civilians",25,30623.406,37.831,1577.44400402462,-3,1.2167197342E7,30.799,7673.0,12.8575772334512,1.225839871E7,3.2,0.356,5.7
12,"DZA","Algeria",2000,"Battles",95,31042.235,37.831,1753.06224018011,-3,2.1609834556E7,15.666,7662.0,13.0334285018516,2.171284871E7,3.81968,0.357,5.9
12,"DZA","Algeria",2000,"Explosions/Remote violence",12,31042.235,37.831,1753.06224018011,-3,2.1609834556E7,15.666,7662.0,13.0334285018516,2.171284871E7,3.81968,0.357,5.9
12,"DZA","Algeria",2000,"Protests",2,31042.235,37.831,1753.06224018011,-3,2.1609834556E7,15.666,7662.0,13.0334285018516,2.171284871E7,3.81968,0.357,5.9
12,"DZA","Algeria",2000,"Riots",0,31042.235,37.831,1753.06224018011,-3,2.1609834556E7,15.666,7662.0,13.0334285018516,2.171284871E7,3.81968,0.357,5.9
12,"DZA","Algeria",2000,"Strategic developments",0,31042.235,37.831,1753.06224018011,-3,2.1609834556E7,15.666,7662.0,13.0334285018516,2.171284871E7,3.81968,0.357,5.9
12,"DZA","Algeria",2000,"Violence against civilians",61,31042.235,37.831,1753.06224018011,-3,2.1609834556E7,15.666,7662.0,13.0334285018516,2.171284871E7,3.81968,0.357,5.9
12,"DZA","Algeria",2001,"Battles",79,31451.514,33.62,1742.73443969786,-3,1.8692303574E7,877.912,7583.0,13.2052671576243,1.879154959E7,3.0084,0.358,6.1
12,"DZA","Algeria",2001,"Explosions/Remote violence",11,31451.514,33.62,1742.73443969786,-3,1.8692303574E7,877.912,7583.0,13.2052671576243,1.879154959E7,3.0084,0.358,6.1
12,"DZA","Algeria",2001,"Protests",17,31451.514,33.62,1742.73443969786,-3,1.8692303574E7,877.912,7583.0,13.2052671576243,1.879154959E7,3.0084,0.358,6.1
